name,price,rating,url,Processor,Processor_Gen,RAM,RAM_Type,Operating_System,SSD,Display_Size,Warranty,Graphics,Other_Specs,Description
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,59490,4.3,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450hx-12-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15iax9d1-gaming-laptop/p/itm4a19730d181b4?pid=COMHY9Z86BTST9AG&lid=LSTCOMHY9Z86BTST9AGRWZEC9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_VrR8wW9bzVWG04yS8VThO9OubFj-OluEC5PKKNDUDylPz7pcB8eZAJH0qclpaZ3reYHxUqg84uBPhR9TNCFQNPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,12,DDR5,Windows 11 Operating System,512 GB SSD,39.62,1Yr Warranty and 1 Yr Accidental Damage Protection,Integrated,['Office Home & Student 2021'],"Intel Core i5, 12 GB DDR5, Windows 11 Operating System, 512 GB SSD, 39.62 cm Display, 1Yr Warranty and 1 Yr Accidental Damage Protection, Office Home & Student 2021"
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,56990,4.3,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa1351tx-gaming-laptop/p/itm9ad6649afe111?pid=COMHY8KVNMU2S5QQ&lid=LSTCOMHY8KVNMU2S5QQSFQYGS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_VrR8wW9bzVWG04yS8VThO9OubFj-OluEC5PKKNDUDyk_1CsyMQruAeDZScvZva2LY9bdStiudZJopYVeEW3B7PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,16,DDR4,Windows 11 Operating System,512 GB SSD,39.62,1 Year Onsite Warranty,Integrated,[],"Intel Core i5, 16 GB DDR4, Windows 11 Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Onsite Warranty"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,38990,4.3,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=b6bd5232-b8c8-4b81-a603-2987e3be2d3f.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,16,DDR4,Windows 11 Operating System,512 GB SSD,35.56,1 Year Carry-in Warranty,Integrated,[],"Intel Core i5, 16 GB DDR4, Windows 11 Operating System, 512 GB SSD, 35.56 cm Display, 1 Year Carry-in Warranty"
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,51990,4.5,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=b6bd5232-b8c8-4b81-a603-2987e3be2d3f.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,16,LPDDR4X,Windows 11 Operating System,512 GB SSD,39.62,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Integrated,[],"Intel Core i5, 16 GB LPDDR4X, Windows 11 Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W...,68990,3.8,https://www.flipkart.com/asus-expertbook-p1-intel-core-i7-13th-gen-13620h-32-gb-512-gb-ssd-windows-11-home-p1403cva-s60940ws-thin-light-laptop/p/itmc8b94112958cf?pid=COMH8Z2QT98FWRGH&lid=LSTCOMH8Z2QT98FWRGH3QRD3U&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=b6bd5232-b8c8-4b81-a603-2987e3be2d3f.COMH8Z2QT98FWRGH.SEARCH&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i7,Not Specified,32,DDR5,Windows 11 Home Operating System,512 GB SSD,35.56,1 Year Onsite Warranty,Integrated,"['Microsoft Office Home 2024, Microsoft 365 Basic']","Intel Core i7, 32 GB DDR5, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm Display, 1 Year Onsite Warranty, Microsoft Office Home 2024, Microsoft 365 Basic"
HP Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU Thin and Light Laptop,36990,4.5,https://www.flipkart.com/hp-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-15-fd0574tu-thin-light-laptop/p/itm9126a589d1667?pid=COMHBFRJEWGN4FMY&lid=LSTCOMHBFRJEWGN4FMYNEJ3G6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_VrR8wW9bzVWG04yS8VThO9OubFj-OluEC5PKKNDUDymCTLg1EbCDj0-O-UWTycQBHFPju3nSPZ-DpycojaBfPkKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i3,Not Specified,16,DDR4,Windows 11 Home Operating System,512 GB SSD,39.62,1 Year Onsite Warranty,Integrated,['MS Office Home 2024 + MISC PC Game Pass DA 3M'],"Intel Core i3, 16 GB DDR4, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Onsite Warranty, MS Office Home 2024 + MISC PC Game Pass DA 3M"
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71042W...,62990,3.8,https://www.flipkart.com/asus-expertbook-p1-intel-core-i7-13th-gen-13620h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s71042ws-thin-light-laptop/p/itmaaf79b8a24f17?pid=COMH8Z2QK37PNMFZ&lid=LSTCOMH8Z2QK37PNMFZYXNPS4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=b6bd5232-b8c8-4b81-a603-2987e3be2d3f.COMH8Z2QK37PNMFZ.SEARCH&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i7,Not Specified,16,DDR5,Windows 11 Home Operating System,512 GB SSD,39.62,1 Year Onsite Warranty,Integrated,"['Microsoft Office Home 2024, Microsoft 365 Basic']","Intel Core i7, 16 GB DDR5, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Onsite Warranty, Microsoft Office Home 2024, Microsoft 365 Basic"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-73...,70990,4.1,https://www.flipkart.com/acer-swift-go-14-touchscreen-ai-pc-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-sfg14-73t-70n9-thin-light-laptop/p/itm174fc1bfd505f?pid=COMGZH2UFKEB5PP4&lid=LSTCOMGZH2UFKEB5PP4ZOS4QG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=b6bd5232-b8c8-4b81-a603-2987e3be2d3f.COMGZH2UFKEB5PP4.SEARCH&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Unknown,Not Specified,16,LPDDR5X,Windows 11 Operating System,1 TB SSD,35.56,1 Year Carry-in Warranty,Integrated,['Intel Core Ultra 7 Processor'],"16 GB LPDDR5X, Windows 11 Operating System, 1 TB SSD, 35.56 cm Display, 1 Year Carry-in Warranty, Intel Core Ultra 7 Processor"
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,43490,4.2,https://www.flipkart.com/infinix-y4-max-series-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmd28733993c713?pid=COMGWWBRSAFMWR3W&lid=LSTCOMGWWBRSAFMWR3WKB4J37&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=b6bd5232-b8c8-4b81-a603-2987e3be2d3f.COMGWWBRSAFMWR3W.SEARCH&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,16,LPDDR4X,Windows 11 Operating System,512 GB SSD,40.64,1 Year Onsite Warranty,Integrated,['NA'],"Intel Core i5, 16 GB LPDDR4X, Windows 11 Operating System, 512 GB SSD, 40.64 cm Display, 1 Year Onsite Warranty, NA"
Lenovo Yoga Slim 7 Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14IMH9 Thin and Light La...,87990,4.2,https://www.flipkart.com/lenovo-yoga-slim-7-intel-core-ultra-155h-16-gb-1-tb-ssd-windows-11-home-14imh9-thin-light-laptop/p/itm77304edff3814?pid=COMH3G969EWNAHYG&lid=LSTCOMH3G969EWNAHYGM4NHIP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=b6bd5232-b8c8-4b81-a603-2987e3be2d3f.COMH3G969EWNAHYG.SEARCH&ppt=None&ppn=None&ssid=o69skc19ls0000001746435832520&qH=c06ea84a1e3dc3c6,Unknown,Not Specified,16,LPDDR5X,Windows 11 Operating System,1 TB SSD,35.56,1 Year Carry-in Warranty,Integrated,['Intel Core Ultra 7 Processor'],"16 GB LPDDR5X, Windows 11 Operating System, 1 TB SSD, 35.56 cm Display, 1 Year Carry-in Warranty, Intel Core Ultra 7 Processor"
